ts,fundingRate,fundingRateLong,fundingRateShort,oraclePriceTwap,markPriceTwap,periodRevenue
1750759202,0.438502916,0.438502916,0.438502916,105259.839675,105249.311778,6157.584415
1750762803,0.579753000,0.579753000,0.579753000,105285.722060,105278.578988,2905.876861
1750766423,0.683605291,0.683605291,0.683605291,105276.792981,105272.144150,-2634.029622
1750770004,0.665012916,0.665012916,0.665012916,105211.309110,105206.227159,204.996489
1750773606,0.640000083,0.640000083,0.640000083,105169.952177,105164.278189,-4226.871934
1750777202,0.603302416,0.603302416,0.603302416,105344.329508,105337.739901,12732.441862
1750780810,0.542226791,0.542226791,0.542226791,105446.664601,105438.588712,-7099.239680
1750784402,0.578514458,0.578514458,0.578514458,105568.854611,105561.625188,22092.306130
1750788019,0.505635333,0.505635333,0.505635333,105843.813257,105834.779743,-3322.242917
1750791615,0.559515833,0.559515833,0.559515833,105835.057300,105827.318669,-17059.424758
1750795209,0.583216083,0.583216083,0.583216083,105637.648448,105630.518105,2393.897834
1750798825,0.778125625,0.778125625,0.778125625,105770.836944,105768.357792,13166.163889
1750802401,0.763412583,0.763412583,0.763412583,105917.276804,105914.415251,-2332.560928
1750806011,0.897897000,0.897897000,0.897897000,105936.582638,105936.944850,970.619509
1750809619,0.769662541,0.769662541,0.769662541,105939.591506,105936.875489,2477.458245
1750813220,0.831307166,0.831307166,0.831307166,106079.647045,106078.382488,5766.125915
1750816812,0.864207166,0.864207166,0.864207166,106252.628815,106252.119262,-717.367778
1750820430,0.877251666,0.877251666,0.877251666,106475.807780,106475.566659,1365.244678
1750824001,0.713017583,0.713017583,0.713017583,106461.655536,106457.475627,-3304.433822
1750827620,0.788703625,0.788703625,0.788703625,106302.629345,106300.297707,-286.744393
1750831218,0.926658708,0.926658708,0.926658708,106278.509874,106279.493982,346.479269
1750834803,0.917498625,0.917498625,0.917498625,106348.725439,106349.475661,1899.827547
1750838405,0.983444208,0.983444208,0.983444208,106505.861906,106508.163395,2527.774659
1750842031,0.928699083,0.928699083,0.928699083,106515.958505,106516.944092,-142.046956
1750845604,0.985007750,0.985007750,0.985007750,106672.933497,106675.239097,526.966888
1750849204,1.034178958,1.034178958,1.034178958,106879.453424,106882.897829,5778.138273
1750852808,0.972598458,0.972598458,0.972598458,107039.841776,107041.776171,892.935489
1750856416,0.847104666,0.847104666,0.847104666,107100.746406,107099.656769,947.380303
1750860010,0.851809916,0.851809916,0.851809916,107528.506487,107527.444224,10465.823540
1750863612,0.677564583,0.677564583,0.677564583,107689.384277,107684.107951,-3805.436038
1750867211,0.408140125,0.408140125,0.408140125,107366.814478,107355.136479,-21962.618455
1750870806,0.602676208,0.602676208,0.602676208,107308.171306,107301.173901,3701.473193
